epoch,loss,val_loss
0,1.79970867234e+18,62679.5801816
1,54931.9518738,319868.22238
2,51422.9282361,51339.3401664
3,11619.801013,2662.37152888
4,2631.89254,2555.47002421
5,2721.34553275,2166.52542017
6,82335.4720586,2518.27395143
7,2064.80316425,4454.87615418
8,2214.90094073,2026.45326647
9,1923.86263654,1884.15738783
10,1903.72357526,1771.64124414
11,4022.37951731,1700.51365144
12,5914.86650255,1500.2030084
13,1646.27119333,1445.26902695
14,1665.08214265,1497.20207528
15,1571.38367156,2062.32495903
16,1509.3022395,2100.64934621
17,1496.89730292,2241.34519376
18,2054.4396572,4114.65605215
19,1.74450417378e+21,1590599.90625
20,172168.237629,1668.81604952
21,1520.23909197,1331.26599456
22,321880.551689,1393.76016155
23,1421.36778196,1217.46461039
24,1187.69043374,1328.10944197
25,1187.46828571,1101.13112985
26,1505.36697806,1628.95021624
27,1455.24435054,1844.14117018
28,1269.02019976,1308.41077196
29,1287.50064804,1049.99888387
30,1219.57154775,1110.89436255
31,1180.50872262,1418.83165307
32,1244.01047435,918.576296445
33,4593302.33529,1016.1540607
34,5710.00478202,1136.42547536
35,1000.52222698,1184.52317531
36,992.735065197,1061.47310625
37,926.248028976,1442.58404006
38,999.899785203,2312.59746122
39,1086.98594444,782.784448898
